;Objetivos;;ENERO;FEBRERO;MARZO;ABRIL;MAYO;JUNIO;JULIO;AGOSTO;SEPTIEMBRE;OCTUBRE;NOVIEMBRE;DICIEMBRE;TOTAL;;;;;;;Ticket;Colchones;;Living;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Block en kilogramos;;1.051;1863;1.810;2.043;1.508;2.354;2.198;2.105;431;;;;15.363;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Plan de venta equivalente Unidades;;3.188;3.434;3.940;3.676;3.703;4.625;4.195;4.412;1.302;0;0;0;32.475;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;FACTURACION $ REALES;; $1.377.963.707,59; $1.538.560.359,33; $1.966.785.402,80; $1.986.646.219,85; $2.091.864.569,39; $2.638.064.033,95; $2.409.381.344,82; $2.575.335.720,53; $756.257.218,98; $0,00; $0,00; $0,00;17.340.858.577;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Sillones Equivalente;; $328.609.446,38; $481.714.248,28; $666.929.003,43; $659.526.975,33; $568.674.399,18; $772.781.930,36; $691.288.184,68; $908.527.705,87; $237.091.157,66;;;; $2.609.688.978,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Colchones;; $1.028.463.710,76; $1.021.065.947,37; $1.219.664.107,24; $1.275.189.691,82; $1.466.101.742,08; $1.780.595.583,36; $1.660.981.140,10; $1.628.852.885,07; $509.268.033,38;;;; $5.579.697.641,91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Block en kilogramos;; $8.973.028,03; $16.222.170,90; $16.970.101,05; $21.507.160,07; $16.022.182,24; $25.767.652,64; $25.158.933,00; $23.468.969,32; $4.754.060,63;;;; $79.149.615,59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Reventa;; $11.917.522,42; $19.557.992,78; $63.222.191,08; $30.422.392,63; $41.066.245,89; $58.918.867,59; $31.953.087,04; $14.486.160,27; $5.143.967,32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Flete;; $117.236.431,00; $121.075.000,24; $155.460.894,38; $157.166.733,23; $155.147.081,15; $214.763.267,19; $182.131.915,89; $194.401.571,20; $63.504.044,83;;;; $654.800.799,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;9,37%;8,64%;8,66%;8,69%;8,08%;8,96%;8,27%;8,25%;9,23%;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;8,00%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;TICKET / DOLAR;; $5,83; $5,94; $6,67; $7,25; $7,32; $7,54; $7,63; $7,44; $7,36;#¡DIV/0!;#¡DIV/0!;#¡DIV/0!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
