Lista de Materiales — tal como la entregó Sistemas;;;;
56.207 líneas: Modelo -> Insumo -> Cantidad por unidad. Es el insumo base de todos los cálculos de este archivo.;;;;
;;;;
Modelo (base);Insumo (materia prima);Cantidad por unidad;UdM;
NIVUS SOFA 1/2 CPO (-29);CLORURO DE METILENO           ;101,3859;g;
NIVUS SOFA 1/2 CPO (-29);SILICONA2 - B 8123 / 580      ;18,0215;g;
NIVUS SOFA 1/2 CPO (-29);PASTA NEGRA;8,2904;g;
NIVUS SOFA 1/2 CPO (-29);SILICONA1 B 8228 - 594        ;23,7016;g;
NIVUS SOFA 1/2 CPO (-29);Cascara;2,36;kg;
NIVUS SOFA 1/2 CPO (-29);FIBRA HUECA/CONJ/SIL15DX64(VEL;2,4;kg;
NIVUS SOFA 1/2 CPO (-29);AUT HEX. MAD P AGU T2 12X1 1/2;27;Units;
NIVUS SOFA 1/2 CPO (-29);CADENA NYLON N 5 (ESTANDAR);3,2;m;
NIVUS SOFA 1/2 CPO (-29);CINCHA ELASTICA ASIENTO;10,7;m;
NIVUS SOFA 1/2 CPO (-29);DESLIZADOR NRO 5;4;Units;
NIVUS SOFA 1/2 CPO (-29);ETIQUETA BORDAD LIVING;1;Units;
NIVUS SOFA 1/2 CPO (-29);FORRO 21MM (ESTANDAR);6,25;m;
NIVUS SOFA 1/2 CPO (-29);GRAMPA 84/14;0,63;Unidad de Mil;
NIVUS SOFA 1/2 CPO (-29);GRAMPA 84/8;0,88;Unidad de Mil;
NIVUS SOFA 1/2 CPO (-29);GRAMPA 92/40;0,45;Unidad de Mil;
NIVUS SOFA 1/2 CPO (-29);GUATA 100G 150M;1,42;m;
NIVUS SOFA 1/2 CPO (-29);NYLON BOLSA 189X280X80 (LEAN);1;Units;
NIVUS SOFA 1/2 CPO (-29);PCA-125;1;Units;
NIVUS SOFA 1/2 CPO (-29);PRECINTO 200X3.6;4;Units;
NIVUS SOFA 1/2 CPO (-29);TNT 120G - 1,5M - BLANCO/NEGRO;1;m;
NIVUS SOFA 1/2 CPO (-29);TNT 30G - 1,5M - BLANCO;2,52;m;
NIVUS SOFA 1/2 CPO (-29);"FLA 55-130 (""L"")";4;Units;
BENJAMIN SOFA 1 CPO (-100);CORTE DE TELA 1;1;Units;
BENJAMIN SOFA 1 CPO (-100);FLM 37-170( NATURAL);4;Units;
BENJAMIN SOFA 1 CPO (-100);LISTON 1X2X0,630;2,76;ft²;
BENJAMIN SOFA 1 CPO (-100);LISTON 1X2X1,850;8,9;ft²;
BENJAMIN SOFA 1 CPO (-100);MDF 15MM;1,6;m²;
BENJAMIN SOFA 1 CPO (-100);CHAPADUR 3MM                  ;1,13;m²;
BENJAMIN SOFA 1 CPO (-100);AMINA                         ;4,1459;g;
BENJAMIN SOFA 1 CPO (-100);TDI (DI ISIOCANATO DE TOLUENO);1066,0585;g;
BENJAMIN SOFA 1 CPO (-100);PASTA AMARILLA;1,716;g;
BENJAMIN SOFA 1 CPO (-100);T9 (OCTOATO DE ESTAAÑO)       ;4,7249;g;
BENJAMIN SOFA 1 CPO (-100);VORANOL 3011 (POLIOL)         ;1887,4154;g;
BENJAMIN SOFA 1 CPO (-100);CLORURO DE METILENO           ;124,092;g;
BENJAMIN SOFA 1 CPO (-100);SILICONA2 - B 8123 / 580      ;26,6748;g;
BENJAMIN SOFA 1 CPO (-100);PASTA NEGRA;2,1449;g;
BENJAMIN SOFA 1 CPO (-100);SILICONA1 B 8228 - 594        ;6,1321;g;
BENJAMIN SOFA 1 CPO (-100);PASTA ROJA                    ;0,8424;g;
BENJAMIN SOFA 1 CPO (-100);Cascara;2,36;kg;
BENJAMIN SOFA 1 CPO (-100);AUT HEX. MAD P AGU T2 12X3;2;Units;
BENJAMIN SOFA 1 CPO (-100);CEMENTO SOLIDEX 0777 FC 0782MV;0,3;kg;
BENJAMIN SOFA 1 CPO (-100);CINCHA ELASTICA ASIENTO;2,8;m;
BENJAMIN SOFA 1 CPO (-100);CINCHA ELASTICA RESPALDO;1,62;m;
BENJAMIN SOFA 1 CPO (-100);ETIQUETA BORDAD LIVING;1;Units;
BENJAMIN SOFA 1 CPO (-100);FORRO 21MM (ESTANDAR);6,25;m;
BENJAMIN SOFA 1 CPO (-100);GRAMPA 114/40;0,21;Unidad de Mil;
BENJAMIN SOFA 1 CPO (-100);GRAMPA 84/14;0,75;Unidad de Mil;
BENJAMIN SOFA 1 CPO (-100);GRAMPA 84/8;1;Unidad de Mil;
BENJAMIN SOFA 1 CPO (-100);HILO VAHE (ESTANDAR) X;50;m;
BENJAMIN SOFA 1 CPO (-100);LIENZO ALPILLERA 0.50;2,27;m;
BENJAMIN SOFA 1 CPO (-100);LIENZO TNT 90 ANCHO (ALPILL);0,9;m;
BENJAMIN SOFA 1 CPO (-100);NYLON BOLSA 189X215X80 (LEAN);1;Units;
BENJAMIN SOFA 1 CPO (-100);TORNILLO P/MADERA 3.5X25;16;Units;
STELLA RINCONERO RELAX INV;CORTE DE TELA 1;1;Units;
STELLA RINCONERO RELAX INV;LISTON 1X2X0,490;1,08;ft²;
STELLA RINCONERO RELAX INV;LISTON 1X2X0,720;1,97;ft²;
STELLA RINCONERO RELAX INV;LISTON 1X2X0,800;0,87;ft²;
STELLA RINCONERO RELAX INV;LISTON 1X2X1,850;19,39;ft²;
STELLA RINCONERO RELAX INV;LISTON 1X3X0,720;0,39;ft²;
STELLA RINCONERO RELAX INV;LISTON 1X3X0,800;0,44;ft²;
STELLA RINCONERO RELAX INV;LISTON 1X3X1,850;7,09;ft²;
STELLA RINCONERO RELAX INV;MDF 15MM;1,68;m²;
STELLA RINCONERO RELAX INV;MDF 9MM                       ;5,03;m²;
STELLA RINCONERO RELAX INV;CHAPADUR 3MM                  ;3,49;m²;
STELLA RINCONERO RELAX INV;AMINA                         ;17,2668;g;
STELLA RINCONERO RELAX INV;TDI (DI ISIOCANATO DE TOLUENO);4001,9661;g;
STELLA RINCONERO RELAX INV;PASTA AMARILLA;1,716;g;
STELLA RINCONERO RELAX INV;T9 (OCTOATO DE ESTAAÑO)       ;19,7664;g;
STELLA RINCONERO RELAX INV;VORANOL 3011 (POLIOL)         ;7259,382;g;
STELLA RINCONERO RELAX INV;CLORURO DE METILENO           ;338,7186;g;
STELLA RINCONERO RELAX INV;SILICONA2 - B 8123 / 580      ;22,3575;g;
STELLA RINCONERO RELAX INV;PASTA NEGRA;2,466;g;
STELLA RINCONERO RELAX INV;PASTA AZUL;9,9051;g;
STELLA RINCONERO RELAX INV;SILICONA1 B 8228 - 594        ;85,9263;g;
STELLA RINCONERO RELAX INV;VORANOL 3943 (COPO)           ;809,9694;g;
STELLA RINCONERO RELAX INV;PASTA ROJA                    ;3,492;g;
STELLA RINCONERO RELAX INV;Cascara;7,67;kg;
STELLA RINCONERO RELAX INV;FIBRA HUECA/CONJ/SIL15DX64(VEL;6,6;kg;
STELLA RINCONERO RELAX INV;TUERCA T 1/4 TUERQUETINA;16;Units;
STELLA RINCONERO RELAX INV;TORNILLO TANQUE 1/4X7/8;12;Units;
STELLA RINCONERO RELAX INV;AUT HEX. MAD P AGU T2 12X1 1/2;30;Units;
STELLA RINCONERO RELAX INV;AUT HEX. MAD P AGU T2 12X2;15;Units;
STELLA RINCONERO RELAX INV;TORNILLO P/MADERA 3.5X25;34;Units;
STELLA RINCONERO RELAX INV;PRECINTO 200X3.6;9;Units;
STELLA RINCONERO RELAX INV;REGATON BASTON 10*80P/PRECINTO;9;Units;
STELLA RINCONERO RELAX INV;PCP-20 (REGATON DIAM 30X20);12;Units;
STELLA RINCONERO RELAX INV;PATA L CHAPA 135;5;Units;
STELLA RINCONERO RELAX INV;CINCHA ELASTICA ASIENTO;7,56;m;
STELLA RINCONERO RELAX INV;CINCHA METÁLICA ZIG ZAG;9;Units;
STELLA RINCONERO RELAX INV;CINCHA METÁLICA ZIG ZAG 680;11;Units;
STELLA RINCONERO RELAX INV;CLIP CINCHA METÁLICA;40;Units;
STELLA RINCONERO RELAX INV;LATERAL DERECHO MEC. 516D;1;Units;
STELLA RINCONERO RELAX INV;LATERAL IZQUIERDO MEC. 516D;1;Units;
STELLA RINCONERO RELAX INV;TUBO ACERO MEC. 516D L537,8;1;Units;
STELLA RINCONERO RELAX INV;TUBO ACERO MEC. 516D L671,8;1;Units;
STELLA RINCONERO RELAX INV;TUERCA HEX. 1/4 MEC.;8;Units;
STELLA RINCONERO RELAX INV;RESORTE 516D;2;Units;
STELLA RINCONERO RELAX INV;TORNILLO HEX. 1/4 X 38;8;Units;
STELLA RINCONERO RELAX INV;SUJETADOR RESPALDO;2;Units;
STELLA RINCONERO RELAX INV;CABLE ALIMENTACIÓN;1;Units;
STELLA RINCONERO RELAX INV;FUENTE DE ALIMENTACIÓN;1;Units;
STELLA RINCONERO RELAX INV;CONJUNTO MOTOR - PIN - CLIP 516D;1;Units;
STELLA RINCONERO RELAX INV;ENGANCHADORES;8;Units;
STELLA RINCONERO RELAX INV;GRAMPA 84/14;0,62;Unidad de Mil;
STELLA RINCONERO RELAX INV;GRAMPA 84/8;2,94;Unidad de Mil;
STELLA RINCONERO RELAX INV;GRAMPA 92/40;0,91;Unidad de Mil;
STELLA RINCONERO RELAX INV;ETIQUETA BORDAD LIVING;3;Units;
STELLA RINCONERO RELAX INV;HILO VAHE (ESTANDAR) X;150;m;
STELLA RINCONERO RELAX INV;GUATA 100G 150M;4,21;m;
STELLA RINCONERO RELAX INV;GUATA 200G 150M;2,3;m;
STELLA RINCONERO RELAX INV;MILANO 50;3,1;m;
STELLA RINCONERO RELAX INV;FORRO 21MM (ESTANDAR);25;m;
STELLA RINCONERO RELAX INV;CEMENTO SOLIDEX 0777 FC 0782MV;15;kg;
STELLA RINCONERO RELAX INV;FILM STRETCH50CM 23 MIC INDUST;5;kg;
STELLA RINCONERO RELAX INV;NYLON BOLSA 189X215X80 (LEAN);2;Units;
STELLA RINCONERO RELAX INV;NYLON BOLSA 189X280X80 (LEAN);1;Units;
STELLA RINCONERO RELAX INV;TNT 120G - 1,5M - BLANCO/NEGRO;6,75;m;
STELLA RINCONERO RELAX INV;BOTONERA CON USB-A USB-C;1;Units;
STELLA RINCONERO RELAX INV;TORNILLO TANQUE 1/4X1 1/4;4;Units;
STELLA RINCONERO RELAX INV;TNT 30G - 1,5M - BLANCO;6,75;m;
MELANI SOFA 2/3 CPO (STD);CORTE DE TELA 1;1;Units;
MELANI SOFA 2/3 CPO (STD);LISTON 1X2X1,850;7,98;ft²;
MELANI SOFA 2/3 CPO (STD);LISTON 1X3X1,850;1,88;ft²;
MELANI SOFA 2/3 CPO (STD);LISTON 1X4X2,220;4,42;ft²;
MELANI SOFA 2/3 CPO (STD);MDF 15MM;2,15;m²;
MELANI SOFA 2/3 CPO (STD);CHAPADUR 3MM                  ;0,24;m²;
MELANI SOFA 2/3 CPO (STD);AMINA                         ;16,5029;g;
MELANI SOFA 2/3 CPO (STD);TDI (DI ISIOCANATO DE TOLUENO);4242,3849;g;
MELANI SOFA 2/3 CPO (STD);PASTA AMARILLA;4,2328;g;
MELANI SOFA 2/3 CPO (STD);T9 (OCTOATO DE ESTAAÑO)       ;18,1019;g;
MELANI SOFA 2/3 CPO (STD);VORANOL 3011 (POLIOL)         ;7771,9203;g;
MELANI SOFA 2/3 CPO (STD);CLORURO DE METILENO           ;305,8811;g;
MELANI SOFA 2/3 CPO (STD);SILICONA2 - B 8123 / 580      ;66,3415;g;
MELANI SOFA 2/3 CPO (STD);PASTA NEGRA;16,0024;g;
MELANI SOFA 2/3 CPO (STD);SILICONA1 B 8228 - 594        ;45,7496;g;
MELANI SOFA 2/3 CPO (STD);PASTA ROJA                    ;2,184;g;
MELANI SOFA 2/3 CPO (STD);Cascara;2,36;kg;
MELANI SOFA 2/3 CPO (STD);ARANDELA PLANA 5/16;10;Units;
MELANI SOFA 2/3 CPO (STD);AUT HEX. MAD P AGU T2 12X3;17;Units;
MELANI SOFA 2/3 CPO (STD);BULON CABEZA RED C/C 1/4X3;5;Units;
MELANI SOFA 2/3 CPO (STD);CADENA NYLON N 5 (ESTANDAR);3,84;m;
MELANI SOFA 2/3 CPO (STD);CEMENTO SOLIDEX 0777 FC 0782MV;0,5;kg;
MELANI SOFA 2/3 CPO (STD);CINCHA ELASTICA ASIENTO;15,23;m;
MELANI SOFA 2/3 CPO (STD);CINCHA ELASTICA RESPALDO;3,96;m;
MELANI SOFA 2/3 CPO (STD);DESLIZADOR NRO 5;4;Units;
MELANI SOFA 2/3 CPO (STD);ETIQUETA BORDAD LIVING;1;Units;
MELANI SOFA 2/3 CPO (STD);FORRO 21MM (ESTANDAR);6,25;m;
MELANI SOFA 2/3 CPO (STD);GRAMPA 114/40;0,35;Unidad de Mil;
MELANI SOFA 2/3 CPO (STD);GRAMPA 84/14;1;Unidad de Mil;
MELANI SOFA 2/3 CPO (STD);GRAMPA 84/8;1,63;Unidad de Mil;
MELANI SOFA 2/3 CPO (STD);GUATA 100G 150M;4,78;m;
MELANI SOFA 2/3 CPO (STD);HILO VAHE (ESTANDAR) X;50;m;
MELANI SOFA 2/3 CPO (STD);LIENZO ALPILLERA 0.50;1,79;m;
MELANI SOFA 2/3 CPO (STD);LIENZO TNT 110 ANCHO (ALPILL);2,18;m;
MELANI SOFA 2/3 CPO (STD);NYLON BOLSA 189X330X80 (LEAN);1;Units;
MELANI SOFA 2/3 CPO (STD);PCP-90 ( REGATON 70X90);1;Units;
MELANI SOFA 2/3 CPO (STD);TNT 120G - 1,5M - BLANCO/NEGRO;1,41;m;
MELANI SOFA 2/3 CPO (STD);TUERCA HEX. 1/4;5;Units;
MELANI SOFA 2/3 CPO (STD);FLM 09-95(WENGUE);4;Units;
URBAN SOFA 1/2 CPO (-29);CORTE DE TELA 1;1;Units;
URBAN SOFA 1/2 CPO (-29);LISTON 1X2X0,580;0,95;ft²;
URBAN SOFA 1/2 CPO (-29);LISTON 1X2X0,800;3,5;ft²;
URBAN SOFA 1/2 CPO (-29);LISTON 1X2X1,230;4,04;ft²;
URBAN SOFA 1/2 CPO (-29);LISTON 1X3X1,850;6,97;ft²;
URBAN SOFA 1/2 CPO (-29);LISTON 1X2X1,850;1,61;ft²;
URBAN SOFA 1/2 CPO (-29);MDF 9MM                       ;1,48;m²;
URBAN SOFA 1/2 CPO (-29);CHAPADUR 3MM                  ;0,84;m²;
URBAN SOFA 1/2 CPO (-29);AMINA                         ;6,0349;g;
URBAN SOFA 1/2 CPO (-29);TDI (DI ISIOCANATO DE TOLUENO);1651,5509;g;
URBAN SOFA 1/2 CPO (-29);PASTA AMARILLA;0,988;g;
URBAN SOFA 1/2 CPO (-29);T9 (OCTOATO DE ESTAAÑO)       ;6,9835;g;
URBAN SOFA 1/2 CPO (-29);VORANOL 3011 (POLIOL)         ;3016,7061;g;
URBAN SOFA 1/2 CPO (-29);CLORURO DE METILENO           ;72,4185;g;
URBAN SOFA 1/2 CPO (-29);SILICONA2 - B 8123 / 580      ;12,8725;g;
URBAN SOFA 1/2 CPO (-29);PASTA NEGRA;8,3386;g;
URBAN SOFA 1/2 CPO (-29);SILICONA1 B 8228 - 594        ;23,8394;g;
URBAN SOFA 1/2 CPO (-29);Cascara;2,36;kg;
URBAN SOFA 1/2 CPO (-29);FIBRA HUECA/CONJ/SIL15DX64(VEL;3;kg;
URBAN SOFA 1/2 CPO (-29);AUT HEX. MAD P AGU T2 12X1 1/2;10;Units;
URBAN SOFA 1/2 CPO (-29);AUT HEX. MAD P AGU T2 12X2;5;Units;
URBAN SOFA 1/2 CPO (-29);CADENA NYLON N 5 (ESTANDAR);2,8;m;
URBAN SOFA 1/2 CPO (-29);CEMENTO SOLIDEX 0777 FC 0782MV;0,4;kg;
URBAN SOFA 1/2 CPO (-29);CINCHA ELASTICA ASIENTO;4,86;m;
URBAN SOFA 1/2 CPO (-29);DESLIZADOR NRO 5;4;Units;
URBAN SOFA 1/2 CPO (-29);ETIQUETA BORDAD LIVING;1;Units;
URBAN SOFA 1/2 CPO (-29);FILM STRETCH50CM 23 MIC INDUST;0,26;kg;
URBAN SOFA 1/2 CPO (-29);FORRO 21MM (ESTANDAR);6,25;m;
URBAN SOFA 1/2 CPO (-29);GRAMPA 84/14;0,5;Unidad de Mil;
URBAN SOFA 1/2 CPO (-29);GRAMPA 84/8;0,69;Unidad de Mil;
URBAN SOFA 1/2 CPO (-29);GRAMPA 92/40;0,25;Unidad de Mil;
URBAN SOFA 1/2 CPO (-29);GUATA 100G 150M;1,36;m;
URBAN SOFA 1/2 CPO (-29);HILO VAHE (ESTANDAR) X;50;m;
URBAN SOFA 1/2 CPO (-29);LIENZO ALPILLERA 0.50;1,84;m;
URBAN SOFA 1/2 CPO (-29);LIENZO TNT 90 ANCHO (ALPILL);1,65;m;
URBAN SOFA 1/2 CPO (-29);NYLON BOLSA 189X280X80 (LEAN);1;Units;
URBAN SOFA 1/2 CPO (-29);PCP-65 (REGATON 70X65);5;Units;
URBAN SOFA 1/2 CPO (-29);TNT 120G - 1,5M - BLANCO/NEGRO;0,72;m;
URBAN SOFA 1/2 CPO (-29);TNT 30G - 1,5M - BLANCO;1,95;m;
BERLIN SOFA 3 CPO (+97);CORTE DE TELA 1;1;Units;
BERLIN SOFA 3 CPO (+97);BERLIN-F09-PB-AP-LUSTRE WENGUE;2;Units;
BERLIN SOFA 3 CPO (+97);LISTON 1X2X0,670;0,73;ft²;
BERLIN SOFA 3 CPO (+97);LISTON 1X2X0,700;5,36;ft²;
BERLIN SOFA 3 CPO (+97);LISTON 1X2X1,460;7,18;ft²;
BERLIN SOFA 3 CPO (+97);LISTON 1X3X0,700;3,44;ft²;
BERLIN SOFA 3 CPO (+97);LISTON 1X2X1,850;2,29;ft²;
BERLIN SOFA 3 CPO (+97);MDF 9MM                       ;3,19;m²;
BERLIN SOFA 3 CPO (+97);AMINA                         ;5,3076;g;
BERLIN SOFA 3 CPO (+97);TDI (DI ISIOCANATO DE TOLUENO);1406,2416;g;
BERLIN SOFA 3 CPO (+97);PASTA AMARILLA;0,312;g;
BERLIN SOFA 3 CPO (+97);T9 (OCTOATO DE ESTAAÑO)       ;5,754;g;
BERLIN SOFA 3 CPO (+97);VORANOL 3011 (POLIOL)         ;2654,2014;g;
BERLIN SOFA 3 CPO (+97);CLORURO DE METILENO           ;22,869;g;
BERLIN SOFA 3 CPO (+97);SILICONA2 - B 8123 / 580      ;4,065;g;
BERLIN SOFA 3 CPO (+97);PASTA NEGRA;8,5314;g;
BERLIN SOFA 3 CPO (+97);SILICONA1 B 8228 - 594        ;24,3906;g;
BERLIN SOFA 3 CPO (+97);Cascara;3,59;kg;
BERLIN SOFA 3 CPO (+97);AUT HEX. MAD P AGU T2 12X1 1/2;10;Units;
BERLIN SOFA 3 CPO (+97);AUT HEX. MAD P AGU T2 12X2;6;Units;
BERLIN SOFA 3 CPO (+97);CADENA NYLON N 5 (ESTANDAR);3,57;m;
BERLIN SOFA 3 CPO (+97);CINCHA ELASTICA ASIENTO;3,7;m;
BERLIN SOFA 3 CPO (+97);CLAVO CABEZA PLASTICA 1;6;Units;
BERLIN SOFA 3 CPO (+97);DESLIZADOR NRO 5;3;Units;
BERLIN SOFA 3 CPO (+97);ELASTICO BENTLEY ALGO ART 548;2,5;m;
BERLIN SOFA 3 CPO (+97);ETIQUETA BORDAD LIVING;1;Units;
BERLIN SOFA 3 CPO (+97);GRAMPA 84/14;0,25;Unidad de Mil;
BERLIN SOFA 3 CPO (+97);GRAMPA 84/8;1,63;Unidad de Mil;
BERLIN SOFA 3 CPO (+97);GRAMPA 92/40;0,5;Unidad de Mil;
BERLIN SOFA 3 CPO (+97);GUATA 100G 150M;2,37;m;
BERLIN SOFA 3 CPO (+97);HILO VAHE (ESTANDAR) X;50;m;
BERLIN SOFA 3 CPO (+97);LIENZO TNT 90 ANCHO (ALPILL);2,1;m;
BERLIN SOFA 3 CPO (+97);NYLON BOLSA 189X330X80 (LEAN);1;Units;
BERLIN SOFA 3 CPO (+97);PCP-35(REGATON 70X35);6;Units;
BERLIN SOFA 3 CPO (+97);TNT 120G - 1,5M - BLANCO/NEGRO;0,61;m;
BERLIN SOFA 3 CPO (+97);TNT 30G - 1,5M - BLANCO;1,69;m;
SOHO SOFA CAMA 1/3;CORTE DE TELA 1;1;Units;
SOHO SOFA CAMA 1/3;LISTON 1X2X0,580;0,95;ft²;
SOHO SOFA CAMA 1/3;LISTON 1X2X0,670;1,83;ft²;
SOHO SOFA CAMA 1/3;LISTON 1X2X0,090;3,94;ft²;
SOHO SOFA CAMA 1/3;LISTON 1X2X1,360;5,21;ft²;
SOHO SOFA CAMA 1/3;LISTON 1X2X1,850;1,24;ft²;
SOHO SOFA CAMA 1/3;LISTON 1X3X0,900;4,43;ft²;
SOHO SOFA CAMA 1/3;LISTON 1X3X1,850;0,95;ft²;
SOHO SOFA CAMA 1/3;LISTON 1X4X1,360;5,95;ft²;
SOHO SOFA CAMA 1/3;MDF 9MM                       ;0,37;m²;
SOHO SOFA CAMA 1/3;MDF 15MM;1,01;m²;
SOHO SOFA CAMA 1/3;CHAPADUR 3MM                  ;1,76;m²;
SOHO SOFA CAMA 1/3;AMINA                         ;17,0584;g;
SOHO SOFA CAMA 1/3;TDI (DI ISIOCANATO DE TOLUENO);4155,0115;g;
SOHO SOFA CAMA 1/3;PASTA AMARILLA;3,354;g;
SOHO SOFA CAMA 1/3;T9 (OCTOATO DE ESTAAÑO)       ;17,1904;g;
SOHO SOFA CAMA 1/3;VORANOL 3011 (POLIOL)         ;6787,6752;g;
SOHO SOFA CAMA 1/3;CLORURO DE METILENO           ;241,5605;g;
SOHO SOFA CAMA 1/3;SILICONA2 - B 8123 / 580      ;54,6519;g;
SOHO SOFA CAMA 1/3;VORANOL 3943 (COPO)           ;1047,9501;g;
SOHO SOFA CAMA 1/3;SILICONA1 B 8228 - 594        ;51,8817;g;
SOHO SOFA CAMA 1/3;PASTA ROJA                    ;6,6552;g;
SOHO SOFA CAMA 1/3;Cascara;2,36;kg;
SOHO SOFA CAMA 1/3;FIBRA HUECA/CONJ/SIL15DX64(VEL;0,7;kg;
SOHO SOFA CAMA 1/3;ARANDELA PLANA 5/16;4;Units;
SOHO SOFA CAMA 1/3;AUT HEX. MAD P AGU T2 12X2;32;Units;
SOHO SOFA CAMA 1/3;AUT HEX. MAD P AGU T2 12X3;6;Units;
SOHO SOFA CAMA 1/3;BISAGRA MUN 75-75X2 (PULLMAN);2;Units;
SOHO SOFA CAMA 1/3;BUJE LEAN PULLMAN;4;Units;
SOHO SOFA CAMA 1/3;CADENA NYLON N 5 (ESTANDAR);3,46;m;
SOHO SOFA CAMA 1/3;CEMENTO SOLIDEX 0777 FC 0782MV;0,5;kg;
SOHO SOFA CAMA 1/3;CINCHA ELASTICA ASIENTO;8,47;m;
SOHO SOFA CAMA 1/3;DESLIZADOR NRO 5;8;Units;
SOHO SOFA CAMA 1/3;ETIQUETA BORDAD LIVING;1;Units;
SOHO SOFA CAMA 1/3;FILM STRETCH50CM 23 MIC INDUST;0,27;kg;
SOHO SOFA CAMA 1/3;FORRO 21MM (ESTANDAR);6,25;m;
SOHO SOFA CAMA 1/3;GRAMPA 84/14;0,75;Unidad de Mil;
SOHO SOFA CAMA 1/3;GRAMPA 84/8;0,88;Unidad de Mil;
SOHO SOFA CAMA 1/3;GRAMPA 92/40;0,6;Unidad de Mil;
SOHO SOFA CAMA 1/3;GUATA 100G 150M;4,51;m;
SOHO SOFA CAMA 1/3;HILO VAHE (ESTANDAR) X;50;m;
SOHO SOFA CAMA 1/3;LARGUERO PULLMAN 1/3C;1;Units;
SOHO SOFA CAMA 1/3;LIENZO ALPILLERA 0.50;3,57;m;
SOHO SOFA CAMA 1/3;NYLON BOLSA 189X280X80 (LEAN);1;Units;
SOHO SOFA CAMA 1/3;PCP-20 (REGATON DIAM 30X20);4;Units;
SOHO SOFA CAMA 1/3;PRECINTO 200X3.6;10;Units;
SOHO SOFA CAMA 1/3;PRECINTO 250X3.6;4;Units;
SOHO SOFA CAMA 1/3;REGATON BASE VENTILACION 48X15;4;Units;
SOHO SOFA CAMA 1/3;REGATON BASTON 10*80P/PRECINTO;14;Units;
SOHO SOFA CAMA 1/3;REGATON DIAM 50X100 PULLMAN;6;Units;
SOHO SOFA CAMA 1/3;TNT 120G - 1,5M - BLANCO/NEGRO;1,81;m;
SOHO SOFA CAMA 1/3;TNT 30G - 1,5M - BLANCO;2,11;m;
SOHO SOFA CAMA 1/3;TORNILLO P/MADERA 3.5X25;12;Units;
SOHO SOFA CAMA 1/3;TORNILLO TANQUE 1/4X2 1/2;4;Units;
SOHO SOFA CAMA 1/3;TUERCA HEX. 1/4;4;Units;
SOHO SOFA CAMA 1/3;TUERCA T 1/4 TUERQUETINA;4;Units;
SOHO SOFA CAMA 1/3;FLP 05-40 (REG100X100X40);4;Units;
ONIX RINCONERO 2 CPO INV;CORTE DE TELA 1;1;Units;
ONIX RINCONERO 2 CPO INV;LISTON 1X2X0,490;0,54;ft²;
ONIX RINCONERO 2 CPO INV;LISTON 1X2X0,580;0,63;ft²;
ONIX RINCONERO 2 CPO INV;LISTON 1X2X0,670;0,73;ft²;
ONIX RINCONERO 2 CPO INV;LISTON 1X2X0,700;0,77;ft²;
ONIX RINCONERO 2 CPO INV;LISTON 1X2X0,720;1,18;ft²;
ONIX RINCONERO 2 CPO INV;LISTON 1X2X0,920;2,01;ft²;
ONIX RINCONERO 2 CPO INV;LISTON 1X2X1,230;2,02;ft²;
ONIX RINCONERO 2 CPO INV;LISTON 1X2X1,460;1,6;ft²;
ONIX RINCONERO 2 CPO INV;LISTON 1X2X1,850;6,45;ft²;
ONIX RINCONERO 2 CPO INV;LISTON 1X3X0,720;0,59;ft²;
ONIX RINCONERO 2 CPO INV;LISTON 1X3X0,760;2,49;ft²;
ONIX RINCONERO 2 CPO INV;LISTON 1X3X0,920;6,04;ft²;
ONIX RINCONERO 2 CPO INV;LISTON 1X3X1,230;4,04;ft²;
ONIX RINCONERO 2 CPO INV;MDF 15MM;3,77;m²;
ONIX RINCONERO 2 CPO INV;CHAPADUR 3MM                  ;1,95;m²;
ONIX RINCONERO 2 CPO INV;AMINA                         ;33,6373;g;
ONIX RINCONERO 2 CPO INV;TDI (DI ISIOCANATO DE TOLUENO);7930,0225;g;
ONIX RINCONERO 2 CPO INV;PASTA AMARILLA;2,5272;g;
ONIX RINCONERO 2 CPO INV;T9 (OCTOATO DE ESTAAÑO)       ;36,8523;g;
ONIX RINCONERO 2 CPO INV;VORANOL 3011 (POLIOL)         ;13811,9445;g;
ONIX RINCONERO 2 CPO INV;CLORURO DE METILENO           ;484,1826;g;
ONIX RINCONERO 2 CPO INV;SILICONA2 - B 8123 / 580      ;32,9265;g;
ONIX RINCONERO 2 CPO INV;VORANOL 3943 (COPO)           ;2024,9235;g;
ONIX RINCONERO 2 CPO INV;SILICONA1 B 8228 - 594        ;164,585;g;
ONIX RINCONERO 2 CPO INV;PASTA ROJA                    ;8,73;g;
ONIX RINCONERO 2 CPO INV;Cascara;4,72;kg;
ONIX RINCONERO 2 CPO INV;PASTA NEGRA;3,462;g;
ONIX RINCONERO 2 CPO INV;PASTA AZUL;13,9057;g;
ONIX RINCONERO 2 CPO INV;FIBRA HUECA/CONJ/SIL15DX64(VEL;7;kg;
ONIX RINCONERO 2 CPO INV;ABROJO FELPA NRO 5 (ESTANDAR);3,98;m;
ONIX RINCONERO 2 CPO INV;ABROJO PINCHE NRO 5 (ESTANDAR);3,98;m;
ONIX RINCONERO 2 CPO INV;AUT HEX. MAD P AGU T2 12X1 1/2;24;Units;
ONIX RINCONERO 2 CPO INV;AUT HEX. MAD P AGU T2 12X2;13;Units;
