Lista de Materiales — tal como la entregó Sistemas;;;;
56.207 líneas: Modelo -> Insumo -> Cantidad por unidad. Es el insumo base de todos los cálculos de este archivo.;;;;
;;;;
Modelo (base);Insumo (materia prima);Cantidad por unidad;UdM;
AERO, SOFA-1/3CPOS(+29);GRAMPA 84/14;0,63;Unidad de Mil;
AERO, SOFA-1/3CPOS(+29);GRAMPA 84/8;0,88;Unidad de Mil;
AERO, SOFA-1/3CPOS(+29);GRAMPA 92/40;0,4;Unidad de Mil;
AERO, SOFA-1/3CPOS(+29);HILO VAHE (ESTANDAR) X;50;m;
AERO, SOFA-1/3CPOS(+29);LIENZO ALPILLERA 0.50;1,6;m;
AERO, SOFA-1/3CPOS(+29);LIENZO TNT 75 ANCHO (ALPILL);1,64;m;
AERO, SOFA-1/3CPOS(+29);LIENZO TNT 90 ANCHO (ALPILL);1,94;m;
AERO, SOFA-1/3CPOS(+29);NYLON BOLSA 189X330X80 (LEAN);1;Units;
AERO, SOFA-1/3CPOS(+29);PCP-105 ( REGATON 70X105);2;Units;
PARIS,JUEGO 3+1+1;CORTE DE TELA 1;1;Units;
PARIS,JUEGO 3+1+1;LISTON 1X2X1,850;5,52;ft²;
PARIS,JUEGO 3+1+1;LISTON 1X2X0,670;0,73;ft²;
PARIS,JUEGO 3+1+1;LISTON 1X2X0,700;19,14;ft²;
PARIS,JUEGO 3+1+1;LISTON 1X2X1,460;17,56;ft²;
PARIS,JUEGO 3+1+1;LISTON 1X3X0,700;6,89;ft²;
PARIS,JUEGO 3+1+1;MDF 9MM                       ;5,74;m²;
PARIS,JUEGO 3+1+1;CHAPADUR 3MM                  ;0,26;m²;
PARIS,JUEGO 3+1+1;AMINA                         ;4,1352;g;
PARIS,JUEGO 3+1+1;TDI (DI ISIOCANATO DE TOLUENO);1321,6782;g;
PARIS,JUEGO 3+1+1;PASTA AMARILLA;2,964;g;
PARIS,JUEGO 3+1+1;T9 (OCTOATO DE ESTAAÑO)       ;6,378;g;
PARIS,JUEGO 3+1+1;VORANOL 3011 (POLIOL)         ;2062,7553;g;
PARIS,JUEGO 3+1+1;CLORURO DE METILENO           ;217,2555;g;
PARIS,JUEGO 3+1+1;SILICONA2 - B 8123 / 580      ;38,6175;g;
PARIS,JUEGO 3+1+1;Cascara;4,54;kg;
PARIS,JUEGO 3+1+1;PASTA NEGRA;0,7953;g;
PARIS,JUEGO 3+1+1;SILICONA1 B 8228 - 594        ;2,2737;g;
PARIS,JUEGO 3+1+1;AUT HEX. MAD P AGU T2 12X1 1/2;30;Units;
PARIS,JUEGO 3+1+1;AUT HEX. MAD P AGU T2 12X2;12;Units;
PARIS,JUEGO 3+1+1;CADENA NYLON N 5 (ESTANDAR);4,6;m;
PARIS,JUEGO 3+1+1;CEMENTO SOLIDEX 0777 FC 0782MV;1,1;kg;
PARIS,JUEGO 3+1+1;CINCHA ELASTICA ASIENTO;6,14;m;
PARIS,JUEGO 3+1+1;CLAVO CABEZA PLASTICA 1;25;Units;
PARIS,JUEGO 3+1+1;DESLIZADOR NRO 5;5;Units;
PARIS,JUEGO 3+1+1;ELASTICO BENTLEY ALGO ART 548;1,5;m;
PARIS,JUEGO 3+1+1;ETIQUETA BORDAD LIVING;3;Units;
PARIS,JUEGO 3+1+1;FILM STRETCH50CM 23 MIC INDUST;0,31;kg;
PARIS,JUEGO 3+1+1;GRAMPA 84/14;0,75;Unidad de Mil;
PARIS,JUEGO 3+1+1;GRAMPA 84/8;4,13;Unidad de Mil;
PARIS,JUEGO 3+1+1;GRAMPA 92/40;1,3;Unidad de Mil;
PARIS,JUEGO 3+1+1;HILO VAHE (ESTANDAR) X;150;m;
PARIS,JUEGO 3+1+1;LIENZO TNT 90 ANCHO (ALPILL);3,9;m;
PARIS,JUEGO 3+1+1;NYLON BOLSA 189X215X80 (LEAN);2;Units;
PARIS,JUEGO 3+1+1;NYLON BOLSA 189X330X80 (LEAN);1;Units;
PARIS,JUEGO 3+1+1;PCP-35(REGATON 70X35);14;Units;
DONATO(L), SOFA-1/2C(-29);CORTE DE TELA 1;1;Units;
DONATO(L), SOFA-1/2C(-29);LISTON 1X2X0,490;0,54;ft²;
DONATO(L), SOFA-1/2C(-29);LISTON 1X2X0,580;1,27;ft²;
DONATO(L), SOFA-1/2C(-29);LISTON 1X2X0,630;0,34;ft²;
DONATO(L), SOFA-1/2C(-29);LISTON 1X2X0,800;3,5;ft²;
DONATO(L), SOFA-1/2C(-29);LISTON 1X2X1,230;3,36;ft²;
DONATO(L), SOFA-1/2C(-29);LISTON 1X3X0,800;3,94;ft²;
DONATO(L), SOFA-1/2C(-29);LISTON 1X2X1,850;1,56;ft²;
DONATO(L), SOFA-1/2C(-29);LISTON 1X3X1,230;3,03;ft²;
DONATO(L), SOFA-1/2C(-29);MDF 9MM                       ;1,11;m²;
DONATO(L), SOFA-1/2C(-29);CHAPADUR 3MM                  ;0,59;m²;
DONATO(L), SOFA-1/2C(-29);AMINA                         ;4,4782;g;
DONATO(L), SOFA-1/2C(-29);TDI (DI ISIOCANATO DE TOLUENO);1184,0897;g;
DONATO(L), SOFA-1/2C(-29);PASTA AMARILLA;0,8632;g;
DONATO(L), SOFA-1/2C(-29);T9 (OCTOATO DE ESTAAÑO)       ;4,9846;g;
DONATO(L), SOFA-1/2C(-29);VORANOL 3011 (POLIOL)         ;1840,7256;g;
DONATO(L), SOFA-1/2C(-29);CLORURO DE METILENO           ;63,2709;g;
DONATO(L), SOFA-1/2C(-29);SILICONA2 - B 8123 / 580      ;11,2465;g;
DONATO(L), SOFA-1/2C(-29);VORANOL 3943 (COPO)           ;327,0495;g;
DONATO(L), SOFA-1/2C(-29);SILICONA1 B 8228 - 594        ;16,1915;g;
DONATO(L), SOFA-1/2C(-29);PASTA ROJA                    ;1,41;g;
DONATO(L), SOFA-1/2C(-29);Cascara;2,36;kg;
DONATO(L), SOFA-1/2C(-29);FIBRA HUECA/CONJ/SIL15DX64(VEL;3;kg;
DONATO(L), SOFA-1/2C(-29);AUT HEX. MAD P AGU T2 12X1 1/2;10;Units;
DONATO(L), SOFA-1/2C(-29);AUT HEX. MAD P AGU T2 12X2;9;Units;
